Name,Year,Region Code,Region Name,Unit,Factor
Ceramic goods,2021,IT,Italy,kg/EUR,0.7222
Ceramic goods,2021,JP,Japan,kg/EUR,0.8655
Ceramic goods,2021,KR,"Korea, Republic of",kg/EUR,0.9853
Ceramic goods,2021,LT,Lithuania,kg/EUR,1.1648
Ceramic goods,2021,LU,Luxembourg,kg/EUR,0.5316
Ceramic goods,2021,LV,Latvia,kg/EUR,1.3009
Ceramic goods,2021,MT,Malta,kg/EUR,0.9543
Ceramic goods,2021,MX,Mexico,kg/EUR,1.1964
Ceramic goods,2021,NL,Netherlands,kg/EUR,0.6958
Ceramic goods,2021,NO,Norway,kg/EUR,0.9332
Ceramic goods,2021,PL,Poland,kg/EUR,1.1711
Ceramic goods,2021,PT,Portugal,kg/EUR,1.3825
Ceramic goods,2021,RO,Romania,kg/EUR,1.1014
Ceramic goods,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,1.9543
Ceramic goods,2021,ROW_WE,East Europe and Iceland,kg/EUR,2.607
Ceramic goods,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,1.799
Ceramic goods,2021,ROW_WL,Latin America except Brazil,kg/EUR,1.2253
Ceramic goods,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,0.8936
Ceramic goods,2021,RU,Russian Federation,kg/EUR,1.8696
Ceramic goods,2021,SE,Sweden,kg/EUR,0.7248
Ceramic goods,2021,SI,Slovenia,kg/EUR,0.943
Ceramic goods,2021,SK,Slovakia,kg/EUR,1.9473
Ceramic goods,2021,TR,Turkey,kg/EUR,0.972
Ceramic goods,2021,TW,"Taiwan, Province of China",kg/EUR,4.092
Ceramic goods,2021,US,United States,kg/EUR,0.5107
Ceramic goods,2021,ZA,South Africa,kg/EUR,2.1831
Bitumen,2021,AU,Australia,kg/EUR,0.8281
Bitumen,2021,BE,Belgium,kg/EUR,1.0231
Bitumen,2021,BG,Bulgaria,kg/EUR,2.2357
Bitumen,2021,BR,Brazil,kg/EUR,0.3778
Bitumen,2021,CA,Canada,kg/EUR,0.9942
Bitumen,2021,CY,Cyprus,kg/EUR,0.8085
Bitumen,2021,CZ,Czech Republic,kg/EUR,2.3071
Bitumen,2021,DE,Germany,kg/EUR,1.0692
Bitumen,2021,DK,Denmark,kg/EUR,0.1712
Bitumen,2021,EE,Estonia,kg/EUR,1.4277
Bitumen,2021,ES,Spain,kg/EUR,2.0317
Bitumen,2021,FI,Finland,kg/EUR,2.1752
Bitumen,2021,GB,United Kingdom,kg/EUR,1.0323
Bitumen,2021,GR,Greece,kg/EUR,1.6549
Bitumen,2021,HR,Croatia,kg/EUR,2.178
Bitumen,2021,HU,Hungary,kg/EUR,0.9391
Bitumen,2021,IT,Italy,kg/EUR,1.937
Bitumen,2021,LT,Lithuania,kg/EUR,1.43
Bitumen,2021,MT,Malta,kg/EUR,1.428
Bitumen,2021,MX,Mexico,kg/EUR,4.2172
Bitumen,2021,NL,Netherlands,kg/EUR,1.2631
Bitumen,2021,NO,Norway,kg/EUR,2.3488
Bitumen,2021,PL,Poland,kg/EUR,1.9388
Bitumen,2021,PT,Portugal,kg/EUR,1.6371
Bitumen,2021,ROW_WA,"Central Asia and Pacific Asia, Oceania, Antarctica",kg/EUR,2.6819
Bitumen,2021,ROW_WE,East Europe and Iceland,kg/EUR,2.6897
Bitumen,2021,ROW_WF,Africa except Egypt and South Africa,kg/EUR,2.1009
Bitumen,2021,ROW_WL,Latin America except Brazil,kg/EUR,1.5336
Bitumen,2021,ROW_WM,"Middle East, Asia and Egypt",kg/EUR,1.9714
Bitumen,2021,RU,Russian Federation,kg/EUR,2.2443
Bitumen,2021,SE,Sweden,kg/EUR,0.6736
Bitumen,2021,SK,Slovakia,kg/EUR,1.1604
Bitumen,2021,TR,Turkey,kg/EUR,1.4989
Bitumen,2021,US,United States,kg/EUR,1.2514
Bitumen,2021,ZA,South Africa,kg/EUR,7.1991
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,AT,Austria,kg/EUR,0.9843
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,AU,Australia,kg/EUR,0.5945
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,BE,Belgium,kg/EUR,0.9483
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,BG,Bulgaria,kg/EUR,1.7935
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,BR,Brazil,kg/EUR,2.742
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,CA,Canada,kg/EUR,1.1252
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,CH,Switzerland,kg/EUR,0.1812
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,CN,China,kg/EUR,3.0121
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,CY,Cyprus,kg/EUR,0.671
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,CZ,Czech Republic,kg/EUR,2.6376
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,DE,Germany,kg/EUR,0.5752
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,DK,Denmark,kg/EUR,1.2446
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,EE,Estonia,kg/EUR,6.4907
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ES,Spain,kg/EUR,0.508
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,FI,Finland,kg/EUR,0.8287
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,FR,France,kg/EUR,0.314
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,GB,United Kingdom,kg/EUR,0.6595
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,GR,Greece,kg/EUR,2.1092
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,HR,Croatia,kg/EUR,2.0265
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,HU,Hungary,kg/EUR,2.0302
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,ID,Indonesia,kg/EUR,7.7635
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,IE,Ireland,kg/EUR,0.619
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,IN,India,kg/EUR,0.1822
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,IT,Italy,kg/EUR,0.7265
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,JP,Japan,kg/EUR,2.9395
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,KR,"Korea, Republic of",kg/EUR,0.5323
Chemical and fertilizer minerals/salt and other mining and quarrying products (not elsewhere specified),2021,LT,Lithuania,kg/EUR,2.2737
