MCC,MCC Name,EXIOBASE Name,Network,Year,Unit,AD,AE,AF,AG,AI,AL,AM,AN,AO,AQ,AR,AS,AT,AU,AW,AX,AZ,BA,BB,BD,BE,BF,BG,BH,BI,BJ,BL,BM,BN,BO,BQ,BR,BS,BT,BV,BW,BY,BZ,CA,CC,CD,CF,CG,CH,CI,CK,CL,CM,CN,CO,CR,CU,CV,CW,CX,CY,CZ,DE,DJ,DK,DM,DO,DZ,EC,EE,EG,EH,ER,ES,ET,FI,FJ,FK,FM,FO,FR,GA,GB,GD,GE,GF,GG,GH,GI,GL,GM,GN,GP,GQ,GR,GS,GT,GU,GW,GY,HK,HM,HN,HR,HT,HU,ID,IE,IL,IM,IN,IO,IQ,IR,IS,IT,JE,JM,JO,JP,KE,KG,KH,KI,KM,KN,KP,KR,KW,KY,KZ,LA,LB,LC,LI,LK,LR,LS,LT,LU,LV,LY,MA,MC,MD,ME,MF,MG,MH,MK,ML,MM,MN,MO,MP,MQ,MR,MS,MT,MU,MV,MW,MX,MY,MZ,NA,NC,NE,NF,NG,NI,NL,NO,NP,NR,NU,NZ,OM,PA,PE,PF,PG,PH,PK,PL,PM,PN,PR,PS,PT,PW,PY,QA,RE,RO,RS,RU,RW,SA,SB,SC,SD,SE,SG,SH,SI,SJ,SK,SL,SM,SN,SO,SR,SS,ST,SV,SX,SY,SZ,TC,TD,TF,TG,TH,TJ,TK,TL,TM,TN,TO,TR,TT,TV,TW,TZ,UA,UG,UM,US,UY,UZ,VA,VC,VE,VG,VI,VN,VU,WF,WS,XK,YE,YT,ZA,ZM,ZW
5211,Lumber and Building Materials Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5231,"Glass, Paint, and Wallpaper Stores",Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5251,Hardware Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5261,Nurseries and Lawn and Garden Supply Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5262,Marketplaces,Computer and related services,Visa,2021,kgCO2e/€,0.0807,0.3604,0.2471,0.2277,0.2277,0.8946,0.2471,0.2277,0.8045,0.2471,0.2277,0.2471,0.1181,0.1668,0.2277,0.8946,0.2471,0.8946,0.2277,0.2471,0.1457,0.8045,0.1991,0.3604,0.8045,0.8045,0.2277,0.2277,0.2471,0.2277,0.2277,0.1146,0.2277,0.2471,0.2277,0.8045,0.8946,0.2277,0.1382,0.2471,0.8045,0.8045,0.8045,0.046,0.8045,0.2471,0.2277,0.8045,0.4667,0.2277,0.2277,0.2277,0.8045,0.2277,0.2471,0.4718,0.2512,0.1333,0.8045,0.1086,0.2277,0.2277,0.8045,0.2277,0.2648,0.3604,0.8045,0.8045,0.1089,0.8045,0.2353,0.2471,0.2277,0.2471,0.8946,0.0807,0.8045,0.0848,0.2277,0.2471,0.2277,0.8946,0.8045,0.1089,0.2277,0.8045,0.8045,0.2277,0.8045,0.2237,0.2277,0.2277,0.2471,0.8045,0.2277,0.4667,0.2471,0.2277,0.1191,0.2277,0.2554,0.5791,0.1385,0.3604,0.8946,0.646,0.8045,0.3604,0.3604,0.8946,0.1322,0.8946,0.2277,0.3604,0.1263,0.8045,0.2471,0.2471,0.2471,0.8045,0.2277,0.2471,0.3222,0.3604,0.2277,0.2471,0.2471,0.3604,0.2277,0.8946,0.2471,0.8045,0.8045,0.2307,0.1477,0.1532,0.8045,0.8045,0.0807,0.8946,0.8946,0.2277,0.8045,0.2471,0.8946,0.8045,0.2471,0.2471,0.4667,0.2471,0.2277,0.8045,0.2277,0.1627,0.8045,0.2471,0.8045,0.215,0.2471,0.8045,0.8045,0.2471,0.8045,0.2471,0.8045,0.2277,0.1849,0.0918,0.2471,0.2471,0.2471,0.2471,0.3604,0.2277,0.2277,0.2471,0.2471,0.2471,0.2471,0.3424,0.2277,0.2471,0.2277,0.3604,0.0958,0.2471,0.2277,0.3604,0.8045,0.1822,0.8946,0.9796,0.8045,0.3604,0.2471,0.8045,0.8045,0.0693,0.2471,0.8045,0.276,0.8946,0.1635,0.8045,0.1322,0.8045,0.8045,0.2277,0.8045,0.8045,0.2277,0.2277,0.3604,0.8045,0.2277,0.8045,0.8045,0.8045,0.2471,0.2471,0.2471,0.2471,0.2471,0.8045,0.2471,0.3395,0.2277,0.2471,0.1693,0.8045,0.8946,0.8045,0.2471,0.0699,0.2277,0.2471,0.1322,0.2277,0.2277,0.2277,0.2277,0.2471,0.2471,0.2471,0.2471,0.8946,0.3604,0.8045,0.962,0.8045,0.8045
5271,Mobile Home Dealers,Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,"Visa, Mastercard",2021,kgCO2e/€,0.0539,0.2647,0.2494,0.2362,0.2362,0.7235,0.2494,0.2362,0.4172,0.2494,0.2362,0.2494,0.1307,0.2371,0.2362,0.7235,0.2494,0.7235,0.2362,0.2494,0.1662,0.4172,0.6928,0.2647,0.4172,0.4172,0.2362,0.2362,0.2494,0.2362,0.2362,0.1201,0.2362,0.2494,0.2362,0.4172,0.7235,0.2362,0.1409,0.2494,0.4172,0.4172,0.4172,0.0559,0.4172,0.2494,0.2362,0.4172,0.0983,0.2362,0.2362,0.2362,0.4172,0.2362,0.2494,0.3024,0.3573,0.0584,0.4172,0.0357,0.2362,0.2362,0.4172,0.2362,0.3521,0.2647,0.4172,0.4172,0.1927,0.4172,0.087,0.2494,0.2362,0.2494,0.7235,0.0539,0.4172,0.0737,0.2362,0.2494,0.2362,0.7235,0.4172,0.1927,0.2362,0.4172,0.4172,0.2362,0.4172,0.2288,0.2362,0.2362,0.2494,0.4172,0.2362,0.0983,0.2494,0.2362,0.3855,0.2362,0.2682,0.0437,0.1297,0.2647,0.7235,0.3454,0.4172,0.2647,0.2647,0.7235,0.1709,0.7235,0.2362,0.2647,0.0539,0.4172,0.2494,0.2494,0.2494,0.4172,0.2362,0.2494,1.0934,0.2647,0.2362,0.2494,0.2494,0.2647,0.2362,0.7235,0.2494,0.4172,0.4172,0.2169,0.1741,0.2417,0.4172,0.4172,0.0539,0.7235,0.7235,0.2362,0.4172,0.2494,0.7235,0.4172,0.2494,0.2494,0.0983,0.2494,0.2362,0.4172,0.2362,0.1725,0.4172,0.2494,0.4172,0.0279,0.2494,0.4172,0.4172,0.2494,0.4172,0.2494,0.4172,0.2362,0.2879,0.2553,0.2494,0.2494,0.2494,0.2494,0.2647,0.2362,0.2362,0.2494,0.2494,0.2494,0.2494,0.0806,0.2362,0.2494,0.2362,0.2647,0.2034,0.2494,0.2362,0.2647,0.4172,0.1484,0.7235,0.4026,0.4172,0.2647,0.2494,0.4172,0.4172,0.0801,0.2494,0.4172,0.145,0.7235,0.1872,0.4172,0.1709,0.4172,0.4172,0.2362,0.4172,0.4172,0.2362,0.2362,0.2647,0.4172,0.2362,0.4172,0.4172,0.4172,0.2494,0.2494,0.2494,0.2494,0.2494,0.4172,0.2494,0.3058,0.2362,0.2494,0.0368,0.4172,0.7235,0.4172,0.2494,0.0329,0.2362,0.2494,0.1709,0.2362,0.2362,0.2362,0.2362,0.2494,0.2494,0.2494,0.2494,0.7235,0.2647,0.4172,0.1586,0.4172,0.4172
5300,Wholesale Clubs,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5309,Duty Free Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5310,Discount Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
5311,Department Stores,Retail trade (except of motor vehicles and motorcycles) and repair of personal and household goods (services),"Visa, Mastercard",2021,kgCO2e/€,0.0349,0.3203,0.452,0.232,0.232,0.4428,0.452,0.232,0.4402,0.452,0.232,0.452,0.1866,0.1786,0.232,0.4428,0.452,0.4428,0.232,0.452,0.1415,0.4402,0.3013,0.3203,0.4402,0.4402,0.232,0.232,0.452,0.232,0.232,0.0695,0.232,0.452,0.232,0.4402,0.4428,0.232,0.246,0.452,0.4402,0.4402,0.4402,0.0753,0.4402,0.452,0.232,0.4402,0.0818,0.232,0.232,0.232,0.4402,0.232,0.452,0.2158,0.9608,0.0272,0.4402,0.1722,0.232,0.232,0.4402,0.232,0.2289,0.3203,0.4402,0.4402,0.0673,0.4402,0.2477,0.452,0.232,0.452,0.4428,0.0349,0.4402,0.0469,0.232,0.452,0.232,0.4428,0.4402,0.0673,0.232,0.4402,0.4402,0.232,0.4402,0.5481,0.232,0.232,0.452,0.4402,0.232,0.0818,0.452,0.232,0.6663,0.232,0.3103,0.3447,0.1898,0.3203,0.4428,0.3356,0.4402,0.3203,0.3203,0.4428,,0.4428,0.232,0.3203,0.1133,0.4402,0.452,0.452,0.452,0.4402,0.232,0.452,0.1622,0.3203,0.232,0.452,0.452,0.3203,0.232,0.4428,0.452,0.4402,0.4402,0.1622,0.1867,0.367,0.4402,0.4402,0.0349,0.4428,0.4428,0.232,0.4402,0.452,0.4428,0.4402,0.452,0.452,0.0818,0.452,0.232,0.4402,0.232,0.2822,0.4402,0.452,0.4402,,0.452,0.4402,0.4402,0.452,0.4402,0.452,0.4402,0.232,0.0491,0.0968,0.452,0.452,0.452,0.452,0.3203,0.232,0.232,0.452,0.452,0.452,0.452,0.1816,0.232,0.452,0.232,0.3203,0.1296,0.452,0.232,0.3203,0.4402,0.0576,0.4428,0.4181,0.4402,0.3203,0.452,0.4402,0.4402,0.0588,0.452,0.4402,0.547,0.4428,0.7409,0.4402,,0.4402,0.4402,0.232,0.4402,0.4402,0.232,0.232,0.3203,0.4402,0.232,0.4402,0.4402,0.4402,0.452,0.452,0.452,0.452,0.452,0.4402,0.452,0.1575,0.232,0.452,0.0758,0.4402,0.4428,0.4402,0.452,0.0267,0.232,0.452,,0.232,0.232,0.232,0.232,0.452,0.452,0.452,0.452,0.4428,0.3203,0.4402,0.1779,0.4402,0.4402
