Name,Year,Region Code,Region Name,Unit,Factor
N fertiliser,2021,FR,France,kg/EUR,0.6799
P and other fertiliser,2021,FR,France,kg/EUR,0.996
Membership organisation services (not elsewhere specified),2021,FR,France,kg/EUR,0.1031
Other services (not elsewhere specified),2021,FR,France,kg/EUR,0.0614
Public administration and defense services/compulsory social security services,2021,FR,France,kg/EUR,0.101
Additives/blending components,2021,FR,France,kg/EUR,0.4033
Other nonmetallic mineral products,2021,FR,France,kg/EUR,0.5683
Sand and clay,2021,FR,France,kg/EUR,1.0934
Stone,2021,FR,France,kg/EUR,0.7717
Paper and paper products,2021,FR,France,kg/EUR,0.3326
Printed matter and recorded media,2021,FR,France,kg/EUR,0.1425
Pulp,2021,FR,France,kg/EUR,0.2922
Motor vehicles/trailers and semitrailers,2021,FR,France,kg/EUR,0.2422
Other transport equipment,2021,FR,France,kg/EUR,0.2152
Plastics/basic,2021,FR,France,kg/EUR,0.2878
Rubber and plastic products,2021,FR,France,kg/EUR,0.1736
Computer and related services,2021,FR,France,kg/EUR,0.0807
Foundry work services,2021,FR,France,kg/EUR,0.5763
Other business services,2021,FR,France,kg/EUR,0.0917
Research and development services,2021,FR,France,kg/EUR,0.1321
Real estate services,2021,FR,France,kg/EUR,0.0344
Hotel and restaurant (services),2021,FR,France,kg/EUR,0.1015
Textiles,2021,FR,France,kg/EUR,0.2508
Products of forestry/logging and related services,2021,FR,France,kg/EUR,0.3231
Wood and products of wood/cork/straw/plaiting materials,2021,FR,France,kg/EUR,0.1899
Air transport services,2021,FR,France,kg/EUR,1.2705
Other land transportation services,2021,FR,France,kg/EUR,0.0979
Railway transportation services,2021,FR,France,kg/EUR,0.8256
Inland water transportation services,2021,FR,France,kg/EUR,6.3186
Sea and coastal water transportation services,2021,FR,France,kg/EUR,1.8088
Supporting and auxiliary transport services/travel agency services,2021,FR,France,kg/EUR,0.2289
Transportation services via pipelines,2021,FR,France,kg/EUR,5.8281
Sale/maintenance/repair/parts/accessories of motor vehicles/motorcycles,2021,FR,France,kg/EUR,0.0539
Food waste for treatment: biogasification and land application,2021,FR,France,kg/EUR,0.1751
Food waste for treatment: composting and land application,2021,FR,France,kg/EUR,1.0307
Food waste for treatment: incineration,2021,FR,France,kg/EUR,0.2077
Food waste for treatment: landfill,2021,FR,France,kg/EUR,6.3719
Food waste for treatment: waste water treatment,2021,FR,France,kg/EUR,1.1319
Inert/metal/hazardous waste for treatment: landfill,2021,FR,France,kg/EUR,0.1925
Intert/metal waste for treatment: incineration,2021,FR,France,kg/EUR,0.8457
Oil/hazardous waste for treatment: incineration,2021,FR,France,kg/EUR,0.267
Other waste for treatment: waste water treatment,2021,FR,France,kg/EUR,1.1805
Paper for treatment: landfill,2021,FR,France,kg/EUR,3.395
Paper waste for treatment: biogasification and land application,2021,FR,France,kg/EUR,0.1764
Paper waste for treatment: incineration,2021,FR,France,kg/EUR,0.2068
Paper and wood waste for treatment: composting and land application,2021,FR,France,kg/EUR,0.2469
Plastic waste for treatment: incineration,2021,FR,France,kg/EUR,0.8445
Plastic waste for treatment: landfill,2021,FR,France,kg/EUR,0.779
Sewage sludge for treatment: biogasification and land application,2021,FR,France,kg/EUR,0.184
Textiles waste for treatment: incineration,2021,FR,France,kg/EUR,0.8736
Textiles waste for treatment: landfill,2021,FR,France,kg/EUR,0.9492
Wood waste for treatment: incineration,2021,FR,France,kg/EUR,0.2055
Wood waste for treatment: landfill,2021,FR,France,kg/EUR,0.9078
Collected and purified water/distribution of water (services),2021,FR,France,kg/EUR,0.1276
Wholesale trade and commission trade services (except of motor vehicles and motorcycles),2021,FR,France,kg/EUR,0.0662
